terms,title,abstract,abstract_len,title_len
"['cs.CV', 'cs.GR']",Neural Contours: Learning to Draw Lines from 3D Shapes,"This paper introduces a method for learning to generate line drawings from 3D
models. Our architecture incorporates a differentiable module operating on
geometric features of the 3D model, and an image-based module operating on
view-based shape representations. At test time, geometric and view-based
reasoning are combined with the help of a neural module to create a line
drawing. The model is trained on a large number of crowdsourced comparisons of
line drawings. Experiments demonstrate that our method achieves significant
improvements in line drawing over the state-of-the-art when evaluated on
standard benchmarks, resulting in drawings that are comparable to those
produced by experienced human artists.",712,54
"['cs.LG', 'cs.AI']",Accounting for Human Learning when Inferring Human Preferences,"Inverse reinforcement learning (IRL) is a common technique for inferring
human preferences from data. Standard IRL techniques tend to assume that the
human demonstrator is stationary, that is that their policy $\pi$ doesn't
change over time. In practice, humans interacting with a novel environment or
performing well on a novel task will change their demonstrations as they learn
more about the environment or task. We investigate the consequences of relaxing
this assumption of stationarity, in particular by modelling the human as
learning. Surprisingly, we find in some small examples that this can lead to
better inference than if the human was stationary. That is, by observing a
demonstrator who is themselves learning, a machine can infer more than by
observing a demonstrator who is noisily rational. In addition, we find evidence
that misspecification can lead to poor inference, suggesting that modelling
human learning is important, especially when the human is facing an unfamiliar
environment.",1007,62
['cs.CV'],Using Deep Networks for Drone Detection,"Drone detection is the problem of finding the smallest rectangle that
encloses the drone(s) in a video sequence. In this study, we propose a solution
using an end-to-end object detection model based on convolutional neural
networks. To solve the scarce data problem for training the network, we propose
an algorithm for creating an extensive artificial dataset by combining
background-subtracted real images. With this approach, we can achieve precision
and recall values both of which are high at the same time.",512,39
['cs.CV'],"Look globally, age locally: Face aging with an attention mechanism","Face aging is of great importance for cross-age recognition and
entertainment-related applications. Recently, conditional generative
adversarial networks (cGANs) have achieved impressive results for face aging.
Existing cGANs-based methods usually require a pixel-wise loss to keep the
identity and background consistent. However, minimizing the pixel-wise loss
between the input and synthesized images likely resulting in a ghosted or
blurry face. To address this deficiency, this paper introduces an Attention
Conditional GANs (AcGANs) approach for face aging, which utilizes attention
mechanism to only alert the regions relevant to face aging. In doing so, the
synthesized face can well preserve the background information and personal
identity without using the pixel-wise loss, and the ghost artifacts and
blurriness can be significantly reduced. Based on the benchmarked dataset
Morph, both qualitative and quantitative experiment results demonstrate
superior performance over existing algorithms in terms of image quality,
personal identity, and age accuracy.",1067,66
['cs.LG'],Unsupervised Causal Binary Concepts Discovery with VAE for Black-box Model Explanation,"We aim to explain a black-box classifier with the form: `data X is classified
as class Y because X \textit{has} A, B and \textit{does not have} C' in which
A, B, and C are high-level concepts. The challenge is that we have to discover
in an unsupervised manner a set of concepts, i.e., A, B and C, that is useful
for the explaining the classifier. We first introduce a structural generative
model that is suitable to express and discover such concepts. We then propose a
learning process that simultaneously learns the data distribution and
encourages certain concepts to have a large causal influence on the classifier
output. Our method also allows easy integration of user's prior knowledge to
induce high interpretability of concepts. Using multiple datasets, we
demonstrate that our method can discover useful binary concepts for
explanation.",847,86
"['cs.LG', 'cs.AI', 'cs.SY', 'math.OC', 'stat.ML']",Stochastic Variance Reduction Methods for Policy Evaluation,"Policy evaluation is a crucial step in many reinforcement-learning
procedures, which estimates a value function that predicts states' long-term
value under a given policy. In this paper, we focus on policy evaluation with
linear function approximation over a fixed dataset. We first transform the
empirical policy evaluation problem into a (quadratic) convex-concave saddle
point problem, and then present a primal-dual batch gradient method, as well as
two stochastic variance reduction methods for solving the problem. These
algorithms scale linearly in both sample size and feature dimension. Moreover,
they achieve linear convergence even when the saddle-point problem has only
strong concavity in the dual variables but no strong convexity in the primal
variables. Numerical experiments on benchmark problems demonstrate the
effectiveness of our methods.",859,59
"['cs.LG', 'cs.CV', 'stat.ML']",A Simple Framework for Contrastive Learning of Visual Representations,"This paper presents SimCLR: a simple framework for contrastive learning of
visual representations. We simplify recently proposed contrastive
self-supervised learning algorithms without requiring specialized architectures
or a memory bank. In order to understand what enables the contrastive
prediction tasks to learn useful representations, we systematically study the
major components of our framework. We show that (1) composition of data
augmentations plays a critical role in defining effective predictive tasks, (2)
introducing a learnable nonlinear transformation between the representation and
the contrastive loss substantially improves the quality of the learned
representations, and (3) contrastive learning benefits from larger batch sizes
and more training steps compared to supervised learning. By combining these
findings, we are able to considerably outperform previous methods for
self-supervised and semi-supervised learning on ImageNet. A linear classifier
trained on self-supervised representations learned by SimCLR achieves 76.5%
top-1 accuracy, which is a 7% relative improvement over previous
state-of-the-art, matching the performance of a supervised ResNet-50. When
fine-tuned on only 1% of the labels, we achieve 85.8% top-5 accuracy,
outperforming AlexNet with 100X fewer labels.",1306,69
"['cs.LG', 'cs.AI']",Sequential Diagnosis Prediction with Transformer and Ontological Representation,"Sequential diagnosis prediction on the Electronic Health Record (EHR) has
been proven crucial for predictive analytics in the medical domain. EHR data,
sequential records of a patient's interactions with healthcare systems, has
numerous inherent characteristics of temporality, irregularity and data
insufficiency. Some recent works train healthcare predictive models by making
use of sequential information in EHR data, but they are vulnerable to
irregular, temporal EHR data with the states of admission/discharge from
hospital, and insufficient data. To mitigate this, we propose an end-to-end
robust transformer-based model called SETOR, which exploits neural ordinary
differential equation to handle both irregular intervals between a patient's
visits with admitted timestamps and length of stay in each visit, to alleviate
the limitation of insufficient data by integrating medical ontology, and to
capture the dependencies between the patient's visits by employing multi-layer
transformer blocks. Experiments conducted on two real-world healthcare datasets
show that, our sequential diagnoses prediction model SETOR not only achieves
better predictive results than previous state-of-the-art approaches,
irrespective of sufficient or insufficient training data, but also derives more
interpretable embeddings of medical codes. The experimental codes are available
at the GitHub repository (https://github.com/Xueping/SETOR).",1430,79
['cs.CV'],MICIK: MIning Cross-Layer Inherent Similarity Knowledge for Deep Model Compression,"State-of-the-art deep model compression methods exploit the low-rank
approximation and sparsity pruning to remove redundant parameters from a
learned hidden layer. However, they process each hidden layer individually
while neglecting the common components across layers, and thus are not able to
fully exploit the potential redundancy space for compression. To solve the
above problem and enable further compression of a model, removing the
cross-layer redundancy and mining the layer-wise inheritance knowledge is
necessary. In this paper, we introduce a holistic model compression framework,
namely MIning Cross-layer Inherent similarity Knowledge (MICIK), to fully
excavate the potential redundancy space. The proposed MICIK framework
simultaneously, (1) learns the common and unique weight components across deep
neural network layers to increase compression rate; (2) preserves the inherent
similarity knowledge of nearby layers and distant layers to minimize the
accuracy loss and (3) can be complementary to other existing compression
techniques such as knowledge distillation. Extensive experiments on large-scale
convolutional neural networks demonstrate that MICIK is superior over
state-of-the-art model compression approaches with 16X parameter reduction on
VGG-16 and 6X on GoogLeNet, all without accuracy loss.",1324,82
['cs.CV'],VGAN-Based Image Representation Learning for Privacy-Preserving Facial Expression Recognition,"Reliable facial expression recognition plays a critical role in human-machine
interactions. However, most of the facial expression analysis methodologies
proposed to date pay little or no attention to the protection of a user's
privacy. In this paper, we propose a Privacy-Preserving Representation-Learning
Variational Generative Adversarial Network (PPRL-VGAN) to learn an image
representation that is explicitly disentangled from the identity information.
At the same time, this representation is discriminative from the standpoint of
facial expression recognition and generative as it allows expression-equivalent
face image synthesis. We evaluate the proposed model on two public datasets
under various threat scenarios. Quantitative and qualitative results
demonstrate that our approach strikes a balance between the preservation of
privacy and data utility. We further demonstrate that our model can be
effectively applied to other tasks such as expression morphing and image
completion.",994,93
['cs.CV'],PropagationNet: Propagate Points to Curve to Learn Structure Information,"Deep learning technique has dramatically boosted the performance of face
alignment algorithms. However, due to large variability and lack of samples,
the alignment problem in unconstrained situations, \emph{e.g}\onedot large head
poses, exaggerated expression, and uneven illumination, is still largely
unsolved. In this paper, we explore the instincts and reasons behind our two
proposals, \emph{i.e}\onedot Propagation Module and Focal Wing Loss, to tackle
the problem. Concretely, we present a novel structure-infused face alignment
algorithm based on heatmap regression via propagating landmark heatmaps to
boundary heatmaps, which provide structure information for further attention
map generation. Moreover, we propose a Focal Wing Loss for mining and
emphasizing the difficult samples under in-the-wild condition. In addition, we
adopt methods like CoordConv and Anti-aliased CNN from other fields that
address the shift-variance problem of CNN for face alignment. When implementing
extensive experiments on different benchmarks, \emph{i.e}\onedot WFLW, 300W,
and COFW, our method outperforms state-of-the-arts by a significant margin. Our
proposed approach achieves 4.05\% mean error on WFLW, 2.93\% mean error on 300W
full-set, and 3.71\% mean error on COFW.",1267,72
"['cs.CV', 'eess.IV']",Multi-focus Image Fusion Based on Similarity Characteristics,"A novel multi-focus image fusion algorithm performed in spatial domain based
on similarity characteristics is proposed incorporating with region
segmentation. In this paper, a new similarity measure is developed based on the
structural similarity (SSIM) index, which is more suitable for multi-focus
image segmentation. Firstly, the SSNSIM map is calculated between two input
images. Then we segment the SSNSIM map using watershed method, and merge the
small homogeneous regions with fuzzy c-means clustering algorithm (FCM). For
three source images, a joint region segmentation method based on segmentation
of two images is used to obtain the final segmentation result. Finally, the
corresponding segmented regions of the source images are fused according to
their average gradient. The performance of the image fusion method is evaluated
by several criteria including spatial frequency, average gradient, entropy,
edge retention etc. The evaluation results indicate that the proposed method is
effective and has good visual perception.",1037,60
['cs.LG'],Modifying the Symbolic Aggregate Approximation Method to Capture Segment Trend Information,"The Symbolic Aggregate approXimation (SAX) is a very popular symbolic
dimensionality reduction technique of time series data, as it has several
advantages over other dimensionality reduction techniques. One of its major
advantages is its efficiency, as it uses precomputed distances. The other main
advantage is that in SAX the distance measure defined on the reduced space
lower bounds the distance measure defined on the original space. This enables
SAX to return exact results in query-by-content tasks. Yet SAX has an inherent
drawback, which is its inability to capture segment trend information. Several
researchers have attempted to enhance SAX by proposing modifications to include
trend information. However, this comes at the expense of giving up on one or
more of the advantages of SAX. In this paper we investigate three modifications
of SAX to add trend capturing ability to it. These modifications retain the
same features of SAX in terms of simplicity, efficiency, as well as the exact
results it returns. They are simple procedures based on a different
segmentation of the time series than that used in classic-SAX. We test the
performance of these three modifications on 45 time series datasets of
different sizes, dimensions, and nature, on a classification task and we
compare it to that of classic-SAX. The results we obtained show that one of
these modifications manages to outperform classic-SAX and that another one
slightly gives better results than classic-SAX.",1486,90
"['cs.LG', 'cs.MA', 'stat.ML']",Large-Scale Traffic Signal Control Using a Novel Multi-Agent Reinforcement Learning,"Finding the optimal signal timing strategy is a difficult task for the
problem of large-scale traffic signal control (TSC). Multi-Agent Reinforcement
Learning (MARL) is a promising method to solve this problem. However, there is
still room for improvement in extending to large-scale problems and modeling
the behaviors of other agents for each individual agent. In this paper, a new
MARL, called Cooperative double Q-learning (Co-DQL), is proposed, which has
several prominent features. It uses a highly scalable independent double
Q-learning method based on double estimators and the UCB policy, which can
eliminate the over-estimation problem existing in traditional independent
Q-learning while ensuring exploration. It uses mean field approximation to
model the interaction among agents, thereby making agents learn a better
cooperative strategy. In order to improve the stability and robustness of the
learning process, we introduce a new reward allocation mechanism and a local
state sharing method. In addition, we analyze the convergence properties of the
proposed algorithm. Co-DQL is applied on TSC and tested on a multi-traffic
signal simulator. According to the results obtained on several traffic
scenarios, Co- DQL outperforms several state-of-the-art decentralized MARL
algorithms. It can effectively shorten the average waiting time of the vehicles
in the whole road system.",1391,83
"['cs.LG', 'cs.AI']",Significant Wave Height Prediction based on Wavelet Graph Neural Network,"Computational intelligence-based ocean characteristics forecasting
applications, such as Significant Wave Height (SWH) prediction, are crucial for
avoiding social and economic loss in coastal cities. Compared to the
traditional empirical-based or numerical-based forecasting models, ""soft
computing"" approaches, including machine learning and deep learning models,
have shown numerous success in recent years. In this paper, we focus on
enabling the deep learning model to learn both short-term and long-term
spatial-temporal dependencies for SWH prediction. A Wavelet Graph Neural
Network (WGNN) approach is proposed to integrate the advantages of wavelet
transform and graph neural network. Several parallel graph neural networks are
separately trained on wavelet decomposed data, and the reconstruction of each
model's prediction forms the final SWH prediction. Experimental results show
that the proposed WGNN approach outperforms other models, including the
numerical models, the machine learning models, and several deep learning
models.",1043,72
['cs.CV'],"End-to-End Integration of a Convolutional Network, Deformable Parts Model and Non-Maximum Suppression","Deformable Parts Models and Convolutional Networks each have achieved notable
performance in object detection. Yet these two approaches find their strengths
in complementary areas: DPMs are well-versed in object composition, modeling
fine-grained spatial relationships between parts; likewise, ConvNets are adept
at producing powerful image features, having been discriminatively trained
directly on the pixels. In this paper, we propose a new model that combines
these two approaches, obtaining the advantages of each. We train this model
using a new structured loss function that considers all bounding boxes within
an image, rather than isolated object instances. This enables the non-maximal
suppression (NMS) operation, previously treated as a separate post-processing
stage, to be integrated into the model. This allows for discriminative training
of our combined Convnet + DPM + NMS model in end-to-end fashion. We evaluate
our system on PASCAL VOC 2007 and 2011 datasets, achieving competitive results
on both benchmarks.",1029,101
"['stat.ML', 'math.ST', 'stat.TH']",Non-parametric Sparse Additive Auto-regressive Network Models,"Consider a multi-variate time series $(X_t)_{t=0}^{T}$ where $X_t \in
\mathbb{R}^d$ which may represent spike train responses for multiple neurons in
a brain, crime event data across multiple regions, and many others. An
important challenge associated with these time series models is to estimate an
influence network between the $d$ variables, especially when the number of
variables $d$ is large meaning we are in the high-dimensional setting. Prior
work has focused on parametric vector auto-regressive models. However,
parametric approaches are somewhat restrictive in practice. In this paper, we
use the non-parametric sparse additive model (SpAM) framework to address this
challenge. Using a combination of $\beta$ and $\phi$-mixing properties of
Markov chains and empirical process techniques for reproducing kernel Hilbert
spaces (RKHSs), we provide upper bounds on mean-squared error in terms of the
sparsity $s$, logarithm of the dimension $\log d$, number of time points $T$,
and the smoothness of the RKHSs. Our rates are sharp up to logarithm factors in
many cases. We also provide numerical experiments that support our theoretical
results and display potential advantages of using our non-parametric SpAM
framework for a Chicago crime dataset.",1258,61
"['cs.LG', 'stat.ML']",PADME: A Deep Learning-based Framework for Drug-Target Interaction Prediction,"In silico drug-target interaction (DTI) prediction is an important and
challenging problem in biomedical research with a huge potential benefit to the
pharmaceutical industry and patients. Most existing methods for DTI prediction
including deep learning models generally have binary endpoints, which could be
an oversimplification of the problem, and those methods are typically unable to
handle cold-target problems, i.e., problems involving target protein that never
appeared in the training set. Towards this, we contrived PADME (Protein And
Drug Molecule interaction prEdiction), a framework based on Deep Neural
Networks, to predict real-valued interaction strength between compounds and
proteins without requiring feature engineering. PADME takes both compound and
protein information as inputs, so it is capable of solving cold-target (and
cold-drug) problems. To our knowledge, we are the first to combine Molecular
Graph Convolution (MGC) for compound featurization with protein descriptors for
DTI prediction. We used multiple cross-validation split schemes and evaluation
metrics to measure the performance of PADME on multiple datasets, including the
ToxCast dataset, and PADME consistently dominates baseline methods. The results
of a case study, which predicts the binding affinity between various compounds
and androgen receptor (AR), suggest PADME's potential in drug development. The
scalability of PADME is another advantage in the age of Big Data.",1466,77
"['cs.CV', 'cs.LG', 'cs.MM']",Temporal Attentive Alignment for Video Domain Adaptation,"Although various image-based domain adaptation (DA) techniques have been
proposed in recent years, domain shift in videos is still not well-explored.
Most previous works only evaluate performance on small-scale datasets which are
saturated. Therefore, we first propose a larger-scale dataset with larger
domain discrepancy: UCF-HMDB_full. Second, we investigate different DA
integration methods for videos, and show that simultaneously aligning and
learning temporal dynamics achieves effective alignment even without
sophisticated DA methods. Finally, we propose Temporal Attentive Adversarial
Adaptation Network (TA3N), which explicitly attends to the temporal dynamics
using domain discrepancy for more effective domain alignment, achieving
state-of-the-art performance on three video DA datasets. The code and data are
released at http://github.com/cmhungsteve/TA3N.",870,56
"['cs.CV', 'cs.GR', 'cs.LG']",Interactive Visual Study of Multiple Attributes Learning Model of X-Ray Scattering Images,"Existing interactive visualization tools for deep learning are mostly applied
to the training, debugging, and refinement of neural network models working on
natural images. However, visual analytics tools are lacking for the specific
application of x-ray image classification with multiple structural attributes.
In this paper, we present an interactive system for domain scientists to
visually study the multiple attributes learning models applied to x-ray
scattering images. It allows domain scientists to interactively explore this
important type of scientific images in embedded spaces that are defined on the
model prediction output, the actual labels, and the discovered feature space of
neural networks. Users are allowed to flexibly select instance images, their
clusters, and compare them regarding the specified visual representation of
attributes. The exploration is guided by the manifestation of model performance
related to mutual relationships among attributes, which often affect the
learning accuracy and effectiveness. The system thus supports domain scientists
to improve the training dataset and model, find questionable attributes labels,
and identify outlier images or spurious data clusters. Case studies and
scientists feedback demonstrate its functionalities and usefulness.",1299,89
"['cs.LG', 'cs.MA', 'cs.RO', 'stat.ML']",Robust Reinforcement Learning using Adversarial Populations,"Reinforcement Learning (RL) is an effective tool for controller design but
can struggle with issues of robustness, failing catastrophically when the
underlying system dynamics are perturbed. The Robust RL formulation tackles
this by adding worst-case adversarial noise to the dynamics and constructing
the noise distribution as the solution to a zero-sum minimax game. However,
existing work on learning solutions to the Robust RL formulation has primarily
focused on training a single RL agent against a single adversary. In this work,
we demonstrate that using a single adversary does not consistently yield
robustness to dynamics variations under standard parametrizations of the
adversary; the resulting policy is highly exploitable by new adversaries. We
propose a population-based augmentation to the Robust RL formulation in which
we randomly initialize a population of adversaries and sample from the
population uniformly during training. We empirically validate across robotics
benchmarks that the use of an adversarial population results in a more robust
policy that also improves out-of-distribution generalization. Finally, we
demonstrate that this approach provides comparable robustness and
generalization as domain randomization on these benchmarks while avoiding a
ubiquitous domain randomization failure mode.",1326,59
['cs.CV'],Scribble-Supervised Semantic Segmentation by Random Walk on Neural Representation and Self-Supervision on Neural Eigenspace,"Scribble-supervised semantic segmentation has gained much attention recently
for its promising performance without high-quality annotations. Many approaches
have been proposed. Typically, they handle this problem to either introduce a
well-labeled dataset from another related task, turn to iterative refinement
and post-processing with the graphical model, or manipulate the scribble label.
This work aims to achieve semantic segmentation supervised by scribble label
directly without auxiliary information and other intermediate manipulation.
Specifically, we impose diffusion on neural representation by random walk and
consistency on neural eigenspace by self-supervision, which forces the neural
network to produce dense and consistent predictions over the whole dataset. The
random walk embedded in the network will compute a probabilistic transition
matrix, with which the neural representation diffused to be uniform. Moreover,
given the probabilistic transition matrix, we apply the self-supervision on its
eigenspace for consistency in the image's main parts. In addition to comparing
the common scribble dataset, we also conduct experiments on the modified
datasets that randomly shrink and even drop the scribbles on image objects. The
results demonstrate the superiority of the proposed method and are even
comparable to some full-label supervised ones. The code and datasets are
available at https://github.com/panzhiyi/RW-SS.",1440,123
"['cs.LG', 'stat.ML']",On Gradient-Based Learning in Continuous Games,"We formulate a general framework for competitive gradient-based learning that
encompasses a wide breadth of multi-agent learning algorithms, and analyze the
limiting behavior of competitive gradient-based learning algorithms using
dynamical systems theory. For both general-sum and potential games, we
characterize a non-negligible subset of the local Nash equilibria that will be
avoided if each agent employs a gradient-based learning algorithm. We also shed
light on the issue of convergence to non-Nash strategies in general- and
zero-sum games, which may have no relevance to the underlying game, and arise
solely due to the choice of algorithm. The existence and frequency of such
strategies may explain some of the difficulties encountered when using gradient
descent in zero-sum games as, e.g., in the training of generative adversarial
networks. To reinforce the theoretical contributions, we provide empirical
results that highlight the frequency of linear quadratic dynamic games (a
benchmark for multi-agent reinforcement learning) that admit global Nash
equilibria that are almost surely avoided by policy gradient.",1128,46
['cs.CV'],Rank & Sort Loss for Object Detection and Instance Segmentation,"We propose Rank & Sort (RS) Loss, a ranking-based loss function to train deep
object detection and instance segmentation methods (i.e. visual detectors). RS
Loss supervises the classifier, a sub-network of these methods, to rank each
positive above all negatives as well as to sort positives among themselves with
respect to (wrt.) their localisation qualities (e.g. Intersection-over-Union -
IoU). To tackle the non-differentiable nature of ranking and sorting, we
reformulate the incorporation of error-driven update with backpropagation as
Identity Update, which enables us to model our novel sorting error among
positives. With RS Loss, we significantly simplify training: (i) Thanks to our
sorting objective, the positives are prioritized by the classifier without an
additional auxiliary head (e.g. for centerness, IoU, mask-IoU), (ii) due to its
ranking-based nature, RS Loss is robust to class imbalance, and thus, no
sampling heuristic is required, and (iii) we address the multi-task nature of
visual detectors using tuning-free task-balancing coefficients. Using RS Loss,
we train seven diverse visual detectors only by tuning the learning rate, and
show that it consistently outperforms baselines: e.g. our RS Loss improves (i)
Faster R-CNN by ~ 3 box AP and aLRP Loss (ranking-based baseline) by ~ 2 box AP
on COCO dataset, (ii) Mask R-CNN with repeat factor sampling (RFS) by 3.5 mask
AP (~ 7 AP for rare classes) on LVIS dataset; and also outperforms all
counterparts. Code is available at: https://github.com/kemaloksuz/RankSortLoss",1548,63
['cs.CV'],Syn2Real: A New Benchmark forSynthetic-to-Real Visual Domain Adaptation,"Unsupervised transfer of object recognition models from synthetic to real
data is an important problem with many potential applications. The challenge is
how to ""adapt"" a model trained on simulated images so that it performs well on
real-world data without any additional supervision. Unfortunately, current
benchmarks for this problem are limited in size and task diversity. In this
paper, we present a new large-scale benchmark called Syn2Real, which consists
of a synthetic domain rendered from 3D object models and two real-image domains
containing the same object categories. We define three related tasks on this
benchmark: closed-set object classification, open-set object classification,
and object detection. Our evaluation of multiple state-of-the-art methods
reveals a large gap in adaptation performance between the easier closed-set
classification task and the more difficult open-set and detection tasks. We
conclude that developing adaptation methods that work well across all three
tasks presents a significant future challenge for syn2real domain transfer.",1073,71
"['cs.LG', 'cs.PL']",Self-Supervised Learning to Prove Equivalence Between Programs via Semantics-Preserving Rewrite Rules,"We target the problem of synthesizing proofs of semantic equivalence between
two programs made of sequences of statements with complex symbolic expressions.
We propose a neural network architecture based on the transformer to generate
axiomatic proofs of equivalence between program pairs. We generate expressions
which include scalars and vectors and support multi-typed rewrite rules to
prove equivalence. For training the system, we develop an original training
technique, which we call self-supervised sample selection. This incremental
training improves the quality, generalizability and extensibility of the
learned model. We study the effectiveness of the system to generate proofs of
increasing length, and we demonstrate how transformer models learn to represent
complex and verifiable symbolic reasoning. Our system, S4Eq, achieves 97% proof
success on 10,000 pairs of programs while ensuring zero false positives by
design.",934,101
"['cs.CV', 'cs.AI']",Video Abnormal Event Detection by Learning to Complete Visual Cloze Tests,"Although deep neural networks (DNNs) enable great progress in video abnormal
event detection (VAD), existing solutions typically suffer from two issues: (1)
The localization of video events cannot be both precious and comprehensive. (2)
The semantics and temporal context are under-explored. To tackle those issues,
we are motivated by the prevalent cloze test in education and propose a novel
approach named Visual Cloze Completion (VCC), which conducts VAD by learning to
complete ""visual cloze tests"" (VCTs). Specifically, VCC first localizes each
video event and encloses it into a spatio-temporal cube (STC). To achieve both
precise and comprehensive localization, appearance and motion are used as
complementary cues to mark the object region associated with each event. For
each marked region, a normalized patch sequence is extracted from current and
adjacent frames and stacked into a STC. With each patch and the patch sequence
of a STC compared to a visual ""word"" and ""sentence"" respectively, we
deliberately erase a certain ""word"" (patch) to yield a VCT. Then, the VCT is
completed by training DNNs to infer the erased patch and its optical flow via
video semantics. Meanwhile, VCC fully exploits temporal context by
alternatively erasing each patch in temporal context and creating multiple
VCTs. Furthermore, we propose localization-level, event-level, model-level and
decision-level solutions to enhance VCC, which can further exploit VCC's
potential and produce significant performance improvement gain. Extensive
experiments demonstrate that VCC achieves state-of-the-art VAD performance. Our
codes and results are open at https://github.com/yuguangnudt/VEC_VAD/tree/VCC.",1688,73
"['cs.LG', 'cs.CY']",Unsupervised learning for economic risk evaluation in the context of Covid-19 pandemic,"Justifying draconian measures during the Covid-19 pandemic was difficult not
only because of the restriction of individual rights, but also because of its
economic impact. The objective of this work is to present a machine learning
approach to identify regions that should implement similar health policies. For
that end, we successfully developed a system that gives a notion of economic
impact given the prediction of new incidental cases through unsupervised
learning and time series forecasting. This system was built taking into account
computational restrictions and low maintenance requirements in order to improve
the system's resilience. Finally this system was deployed as part of a web
application for simulation and data analysis of COVID-19, in Colombia,
available at (https://covid19.dis.eafit.edu.co).",816,86
['cs.CV'],The role of ego vision in view-invariant action recognition,"Analysis and interpretation of egocentric video data is becoming more and
more important with the increasing availability and use of wearable cameras.
Exploring and fully understanding affinities and differences between ego and
allo (or third-person) vision is paramount for the design of effective methods
to process, analyse and interpret egocentric data. In addition, a deeper
understanding of ego-vision and its peculiarities may enable new research
perspectives in which first person viewpoints can act either as a mean for
easily acquiring large amounts of data to be employed in general-purpose
recognition systems, and as a challenging test-bed to assess the usability of
techniques specifically tailored to deal with allocentric vision on more
challenging settings. Our work, with an eye to cognitive science findings,
leverages transfer learning in Convolutional Neural Networks to demonstrate
capabilities and limitations of an implicitly learnt view-invariant
representation in the specific case of action recognition.",1030,59
['cs.CV'],Cost-efficient segmentation of electron microscopy images using active learning,"Over the last decade, electron microscopy has improved up to a point that
generating high quality gigavoxel sized datasets only requires a few hours.
Automated image analysis, particularly image segmentation, however, has not
evolved at the same pace. Even though state-of-the-art methods such as U-Net
and DeepLab have improved segmentation performance substantially, the required
amount of labels remains too expensive. Active learning is the subfield in
machine learning that aims to mitigate this burden by selecting the samples
that require labeling in a smart way. Many techniques have been proposed,
particularly for image classification, to increase the steepness of learning
curves. In this work, we extend these techniques to deep CNN based image
segmentation. Our experiments on three different electron microscopy datasets
show that active learning can improve segmentation quality by 10 to 15% in
terms of Jaccard score compared to standard randomized sampling.",974,79
"['cs.LG', 'stat.ML']",Statistical Linear Estimation with Penalized Estimators: an Application to Reinforcement Learning,"Motivated by value function estimation in reinforcement learning, we study
statistical linear inverse problems, i.e., problems where the coefficients of a
linear system to be solved are observed in noise. We consider penalized
estimators, where performance is evaluated using a matrix-weighted two-norm of
the defect of the estimator measured with respect to the true, unknown
coefficients. Two objective functions are considered depending whether the
error of the defect measured with respect to the noisy coefficients is squared
or unsquared. We propose simple, yet novel and theoretically well-founded
data-dependent choices for the regularization parameters for both cases that
avoid data-splitting. A distinguishing feature of our analysis is that we
derive deterministic error bounds in terms of the error of the coefficients,
thus allowing the complete separation of the analysis of the stochastic
properties of these errors. We show that our results lead to new insights and
bounds for linear value function estimation in reinforcement learning.",1053,97
"['cs.LG', 'cs.AI', 'cs.CV', 'cs.NE', 'stat.ML']",Semantically Decomposing the Latent Spaces of Generative Adversarial Networks,"We propose a new algorithm for training generative adversarial networks that
jointly learns latent codes for both identities (e.g. individual humans) and
observations (e.g. specific photographs). By fixing the identity portion of the
latent codes, we can generate diverse images of the same subject, and by fixing
the observation portion, we can traverse the manifold of subjects while
maintaining contingent aspects such as lighting and pose. Our algorithm
features a pairwise training scheme in which each sample from the generator
consists of two images with a common identity code. Corresponding samples from
the real dataset consist of two distinct photographs of the same subject. In
order to fool the discriminator, the generator must produce pairs that are
photorealistic, distinct, and appear to depict the same individual. We augment
both the DCGAN and BEGAN approaches with Siamese discriminators to facilitate
pairwise training. Experiments with human judges and an off-the-shelf face
verification system demonstrate our algorithm's ability to generate convincing,
identity-matched photographs.",1106,77
['cs.CV'],Semi-Supervised Segmentation of Salt Bodies in Seismic Images using an Ensemble of Convolutional Neural Networks,"Seismic image analysis plays a crucial role in a wide range of industrial
applications and has been receiving significant attention. One of the essential
challenges of seismic imaging is detecting subsurface salt structure which is
indispensable for identification of hydrocarbon reservoirs and drill path
planning. Unfortunately, exact identification of large salt deposits is
notoriously difficult and professional seismic imaging often requires expert
human interpretation of salt bodies. Convolutional neural networks (CNNs) have
been successfully applied in many fields, and several attempts have been made
in the field of seismic imaging. But the high cost of manual annotations by
geophysics experts and scarce publicly available labeled datasets hinder the
performance of the existing CNN-based methods. In this work, we propose a
semi-supervised method for segmentation (delineation) of salt bodies in seismic
images which utilizes unlabeled data for multi-round self-training. To reduce
error amplification during self-training we propose a scheme which uses an
ensemble of CNNs. We show that our approach outperforms state-of-the-art on the
TGS Salt Identification Challenge dataset and is ranked the first among the
3234 competing methods.",1251,112
